episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,13.3400,32,5,0,5,1,1.0000,14,4,,
2,69.1800,14,5,0,5,1,1.0000,5,2,,
3,43.5300,29,5,0,5,1,1.0000,8,4,58.355062,
4,-1.3600,32,5,0,5,1,1.0000,16,5,60.406114,
5,74.1200,16,5,0,5,1,1.0000,5,1,62.816105,
6,49.4500,15,5,0,5,1,1.0000,7,4,69.271520,
7,-21.6600,42,4,1,5,1,0.8000,18,2,59.679598,
8,9.0600,28,4,1,5,1,0.8000,13,1,48.554118,
9,69.5000,10,5,0,5,1,1.0000,3,4,41.427197,
10,9.1400,22,4,1,5,1,0.8000,11,3,41.378723,
11,18.5200,26,4,1,5,1,0.8000,10,2,33.815633,
12,64.3100,13,5,0,5,1,1.0000,5,3,52.519943,
13,64.4700,11,5,0,5,1,1.0000,4,4,51.459768,283.168015
14,54.1700,21,5,0,5,1,1.0000,8,2,43.292921,279.684857
15,18.0100,33,4,1,5,1,0.8000,9,3,33.805959,287.180615
16,69.1800,14,5,0,5,1,1.0000,2,5,34.253006,288.255029
17,69.2500,15,5,0,5,1,1.0000,4,3,33.317953,276.517468
18,3.1200,46,5,0,5,1,1.0000,16,4,32.061791,244.242996
19,59.3500,15,5,0,5,1,1.0000,6,3,28.815749,259.675620
20,24.0700,21,4,1,5,1,0.8000,6,5,33.835820,262.371320
21,9.4300,19,4,1,5,1,0.8000,10,4,39.335624,252.539786
22,64.4400,12,5,0,5,1,1.0000,5,3,59.757474,231.862131
23,14.1100,23,4,1,5,1,0.8000,12,1,48.097769,250.184912
24,-56.4000,40,2,3,5,1,0.4000,15,2,51.144828,243.084665
25,-26.9500,45,4,1,5,1,0.8000,17,4,48.298880,271.799353
26,8.7500,35,5,0,5,1,1.0000,15,4,43.558873,265.781204
27,9.0600,28,4,1,5,1,0.8000,10,4,45.325122,257.601135
28,-52.6100,47,4,1,5,1,0.8000,25,2,51.859622,349.584454
29,22.3900,47,5,0,5,1,1.0000,12,4,50.648065,331.357104
30,49.1900,17,5,0,5,1,1.0000,7,4,48.290614,339.817120
31,64.4800,14,5,0,5,1,1.0000,6,2,55.576685,335.823395
32,73.8500,15,5,0,5,1,1.0000,3,3,50.770899,292.820129
33,74.2100,13,5,0,5,1,1.0000,4,2,54.635258,308.158792
34,54.2700,21,5,0,5,1,1.0000,8,2,54.780572,278.594067
