episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,43.8400,22,5,0,5,1,1.0000,9,3,,
2,69.1500,15,5,0,5,1,1.0000,4,3,,
3,49.1000,20,5,0,5,1,1.0000,7,4,,
4,74.3400,12,5,0,5,1,1.0000,3,3,84.729622,
5,69.5000,10,5,0,5,1,1.0000,4,3,93.590749,
6,74.5300,9,5,0,5,1,1.0000,3,3,108.632729,
7,-1.5000,40,5,0,5,1,1.0000,17,4,87.372580,
8,59.3200,16,5,0,5,1,1.0000,7,2,75.039284,
9,39.0100,23,5,0,5,1,1.0000,9,4,61.571856,
10,64.4200,16,5,0,5,1,1.0000,5,3,61.474715,
11,3.3800,34,4,1,5,1,0.8000,12,3,54.414447,
12,29.5200,16,4,1,5,1,0.8000,8,2,45.683219,
13,9.0400,22,4,1,5,1,0.8000,11,3,42.678630,272.067490
14,8.6600,28,4,1,5,1,0.8000,13,1,57.386886,267.891223
15,33.6600,38,5,0,5,1,1.0000,12,2,51.052800,293.335284
16,69.4400,12,5,0,5,1,1.0000,5,2,44.611145,276.735345
17,28.8900,27,4,1,5,1,0.8000,8,2,40.802066,263.926886
18,43.5400,22,5,0,5,1,1.0000,9,3,38.476008,278.818146
19,19.3000,20,4,1,5,1,0.8000,10,2,38.827033,291.329205
20,-62.9000,50,4,1,5,1,0.8000,27,2,39.015700,390.125171
21,64.5400,12,5,0,5,1,1.0000,5,3,39.210195,392.983264
22,-46.8900,43,3,2,5,1,0.6000,18,2,52.315848,415.271655
23,43.9400,22,5,0,5,1,1.0000,10,2,51.712353,480.042688
24,38.6500,25,5,0,5,1,1.0000,9,4,47.257198,421.010541
25,-36.1800,36,5,0,5,1,1.0000,23,5,49.920913,423.425311
26,-6.3600,32,4,1,5,1,0.8000,13,4,49.876562,423.258783
27,-36.8900,43,4,1,5,1,0.8000,21,2,48.201576,519.414227
28,-1.3500,35,5,0,5,1,1.0000,17,4,49.539312,554.771747
29,38.2800,34,5,0,5,1,1.0000,8,5,46.182092,426.127808
30,18.3000,30,4,1,5,1,0.8000,7,5,47.146228,461.264026
31,78.9500,15,5,0,5,1,1.0000,3,2,42.081835,453.590997
32,68.7900,17,5,0,5,1,1.0000,4,3,52.819397,411.624384
33,44.1400,22,5,0,5,1,1.0000,9,3,46.165923,477.388574
34,48.9400,22,5,0,5,1,1.0000,8,3,47.852528,469.642361
35,8.9600,28,4,1,5,1,0.8000,11,3,46.484596,383.441718
36,23.6400,32,5,0,5,1,1.0000,13,3,51.829394,437.806616
37,29.0800,24,4,1,5,1,0.8000,7,3,51.217277,401.666858
38,54.1900,17,5,0,5,1,1.0000,6,4,55.147146,395.466895
39,43.9400,22,5,0,5,1,1.0000,9,3,53.986472,430.184387
40,53.6100,23,5,0,5,1,1.0000,7,3,50.086929,397.479413
41,-41.6700,39,3,2,5,1,0.6000,15,4,48.866939,430.921289
42,59.1200,16,5,0,5,1,1.0000,4,5,53.209233,362.597870
43,53.3400,22,5,0,5,1,1.0000,6,4,50.172388,356.724982
44,28.0900,37,5,0,5,1,1.0000,11,4,51.828403,282.890283
45,-26.3200,34,4,1,5,1,0.8000,18,3,51.280099,478.626471
46,74.2100,13,5,0,5,1,1.0000,3,3,56.461088,355.142499
47,33.4600,28,5,0,5,1,1.0000,9,5,53.112501,283.259198
48,69.3800,14,5,0,5,1,1.0000,4,3,48.017050,360.575433
49,-1.1800,26,3,2,5,1,0.6000,9,2,53.037812,284.079874
