episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,24.1700,21,4,1,5,1,0.8000,8,3,,
2,28.8200,26,5,0,5,1,1.0000,11,4,,
3,73.7300,19,5,0,5,1,1.0000,5,1,63.714436,
4,-6.0400,28,4,1,5,1,0.8000,15,2,69.002296,
5,28.6300,29,5,0,5,1,1.0000,12,3,70.696392,
6,13.8200,26,4,1,5,1,0.8000,10,3,66.167264,
7,53.6100,23,5,0,5,1,1.0000,7,3,55.263126,
8,53.6400,22,5,0,5,1,1.0000,6,4,62.974926,
9,48.7900,27,5,0,5,1,1.0000,10,1,51.094273,
10,54.2900,17,5,0,5,1,1.0000,6,4,48.694688,
11,43.5300,29,5,0,5,1,1.0000,10,2,43.498304,
12,73.4300,19,5,0,5,1,1.0000,3,3,62.864916,
13,13.9400,22,4,1,5,1,0.8000,9,4,49.917093,293.557098
14,64.4700,11,5,0,5,1,1.0000,4,4,46.571291,296.930298
15,19.3700,21,4,1,5,1,0.8000,10,2,47.866728,264.896606
16,14.2200,26,4,1,5,1,0.8000,10,3,39.797052,281.090845
17,39.3000,20,5,0,5,1,1.0000,11,2,41.438539,279.478479
18,-22.1700,39,4,1,5,1,0.8000,15,5,38.835618,318.849811
19,-0.9000,30,4,1,5,1,0.8000,16,0,35.942456,330.755878
20,44.4200,16,5,0,5,1,1.0000,9,3,34.211884,360.782605
21,28.5600,28,5,0,5,1,1.0000,12,3,65.808439,333.083310
22,63.2300,29,5,0,5,1,1.0000,5,3,52.793165,305.866351
23,-11.4500,45,5,0,5,1,1.0000,20,3,49.867654,357.187781
24,59.4200,16,5,0,5,1,1.0000,7,2,47.695342,299.771851
25,64.0900,17,5,0,5,1,1.0000,5,3,50.397204,299.925555
26,74.3700,11,5,0,5,1,1.0000,3,3,51.117763,272.798538
27,-15.8700,29,3,2,5,1,0.6000,12,2,48.091751,273.551004
28,-42.2800,46,4,1,5,1,0.8000,19,5,54.789877,315.787872
29,3.6100,33,4,1,5,1,0.8000,12,3,58.662475,359.523566
30,49.0400,22,5,0,5,1,1.0000,8,3,55.421092,269.584015
31,24.4200,16,4,1,5,1,0.8000,7,4,54.990363,297.208835
32,64.6700,11,5,0,5,1,1.0000,5,3,54.806780,303.982562
33,18.6300,29,5,0,5,1,1.0000,13,4,55.304049,249.058698
34,33.8200,26,5,0,5,1,1.0000,12,2,53.232576,325.922437
35,64.2500,15,5,0,5,1,1.0000,6,2,56.329593,271.093369
36,69.3500,15,5,0,5,1,1.0000,5,2,51.032932,263.182742
37,3.5600,28,3,2,5,1,0.6000,8,2,57.109646,251.940057
38,28.7000,30,5,0,5,1,1.0000,11,4,57.428870,262.724359
