episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
88,59.6700,11,5,0,5,1,1.0000,6,3,47.976781,104.597008
89,74.1500,15,5,0,5,1,1.0000,4,2,48.662948,152.278716
90,33.8000,30,5,0,5,1,1.0000,12,2,51.185569,120.725805
91,74.3100,13,5,0,5,1,1.0000,4,2,51.364985,164.670091
92,64.3000,20,5,0,5,1,1.0000,5,3,49.941055,124.280043
93,39.3900,17,4,1,5,1,0.8000,6,2,50.473749,145.154511
94,14.0200,26,4,1,5,1,0.8000,10,3,48.474685,178.269318
95,39.0000,20,4,1,5,1,0.8000,7,1,50.259400,163.607419
96,33.5400,32,5,0,5,1,1.0000,11,3,47.966549,143.791406
97,74.5700,11,5,0,5,1,1.0000,3,3,51.550701,222.284641
98,-6.9800,46,4,1,5,1,0.8000,13,4,43.279380,113.751921
99,13.7800,34,4,1,5,1,0.8000,11,2,43.965137,132.399849
100,39.1300,19,5,0,5,1,1.0000,9,4,44.620063,149.954593
101,79.3400,12,5,0,5,1,1.0000,4,1,41.700140,168.056433
102,43.6200,36,5,0,5,1,1.0000,10,2,39.231557,155.261722
103,69.3800,14,5,0,5,1,1.0000,4,3,38.533947,237.877632
104,69.3800,14,5,0,5,1,1.0000,5,2,45.828735,163.326654
105,68.7000,20,5,0,5,1,1.0000,6,1,41.810211,229.209944
106,69.6300,9,5,0,5,1,1.0000,4,3,37.061877,99.106590
107,-6.8800,36,4,1,5,1,0.8000,13,4,40.021451,118.805588
108,38.6700,21,4,1,5,1,0.8000,5,3,40.952537,153.362276
109,24.1500,25,4,1,5,1,0.8000,10,1,41.165623,120.963383
110,68.8200,16,5,0,5,1,1.0000,4,3,47.401540,109.758740
111,-31.7600,52,4,1,5,1,0.8000,20,2,40.780638,97.406174
112,23.0200,46,5,0,5,1,1.0000,15,1,42.333276,84.132316
113,37.5100,33,4,1,5,1,0.8000,5,3,42.085473,110.460707
114,-46.7400,48,3,2,5,1,0.6000,18,2,41.185126,167.469034
115,43.2500,35,5,0,5,1,1.0000,9,3,36.662417,180.626054
116,19.0300,29,5,0,5,1,1.0000,14,3,36.997910,132.989636
117,23.5600,38,5,0,5,1,1.0000,12,4,39.529047,117.377852
118,-6.6000,40,4,1,5,1,0.8000,13,4,40.056623,178.884721
119,68.9700,21,5,0,5,1,1.0000,6,1,41.033044,134.711138
120,58.9500,25,5,0,5,1,1.0000,7,2,44.314800,134.115524
121,68.8800,24,5,0,5,1,1.0000,5,2,38.451382,136.328439
122,59.2500,15,5,0,5,1,1.0000,5,4,41.322583,97.796343
123,29.2900,17,4,1,5,1,0.8000,7,3,39.273256,123.291120
124,59.4800,14,5,0,5,1,1.0000,7,2,41.304444,122.422700
125,39.2600,18,5,0,5,1,1.0000,10,3,41.467466,93.558010
126,69.4800,14,5,0,5,1,1.0000,5,2,36.497700,153.557880
127,28.9900,27,4,1,5,1,0.8000,8,2,37.051618,171.473906
128,24.0500,25,5,0,5,1,1.0000,13,3,37.607821,111.379028
129,64.1300,19,5,0,5,1,1.0000,5,3,45.702009,251.289792
130,28.7000,30,5,0,5,1,1.0000,10,5,42.485541,171.685881
131,39.1400,22,5,0,5,1,1.0000,10,3,37.345084,151.350067
132,33.8700,21,4,1,5,1,0.8000,5,4,43.286722,122.798740
133,68.8700,21,5,0,5,1,1.0000,4,3,39.017173,118.184702
134,69.5500,15,5,0,5,1,1.0000,6,1,37.045346,193.460287
135,58.8700,21,5,0,5,1,1.0000,6,3,37.864767,161.259093
136,69.0600,18,5,0,5,1,1.0000,4,3,37.542868,146.756218
137,39.2800,24,5,0,5,1,1.0000,9,4,37.000874,124.874544
138,44.1100,23,5,0,5,1,1.0000,9,3,40.130811,223.384099
139,-7.1800,56,4,1,5,1,0.8000,16,1,37.873391,178.954062
140,9.1000,30,4,1,5,1,0.8000,12,2,42.208222,155.516815
141,79.6400,12,5,0,5,1,1.0000,5,0,40.646887,159.985220
142,33.6200,26,5,0,5,1,1.0000,10,4,34.848970,160.331345
143,7.8900,37,4,1,5,1,0.8000,12,2,41.751622,168.671072
144,18.1800,34,5,0,5,1,1.0000,12,5,37.483588,128.264377
145,12.0200,46,4,1,5,1,0.8000,12,2,37.393912,170.515796
146,28.6300,29,5,0,5,1,1.0000,11,4,40.198333,138.854008
147,64.2800,14,5,0,5,1,1.0000,5,3,41.861914,182.424721
148,64.1800,14,5,0,5,1,1.0000,5,3,36.330490,151.599225
149,74.1800,14,5,0,5,1,1.0000,4,2,38.870904,118.118330
150,64.0900,17,5,0,5,1,1.0000,6,2,35.389184,148.329535
151,54.2300,19,5,0,5,1,1.0000,7,3,37.040029,149.883044
152,69.0600,18,5,0,5,1,1.0000,5,2,38.296432,162.830530
153,62.7200,26,5,0,5,1,1.0000,4,4,35.380288,195.397057
154,69.5700,11,5,0,5,1,1.0000,4,3,35.970528,125.135176
155,-8.0400,48,4,1,5,1,0.8000,15,3,36.614881,212.124197
156,78.2300,19,5,0,5,1,1.0000,2,3,34.715246,147.705963
157,43.1100,33,5,0,5,1,1.0000,10,2,36.797988,153.718343
158,52.8300,29,5,0,5,1,1.0000,7,3,37.002174,127.623386
159,44.3100,23,5,0,5,1,1.0000,10,2,35.895618,247.953278
160,64.4400,12,5,0,5,1,1.0000,6,2,39.028599,132.674363
161,64.1600,18,5,0,5,1,1.0000,5,3,35.986217,160.132047
162,13.7700,31,5,0,5,1,1.0000,16,2,33.809891,199.137621
163,74.6000,10,5,0,5,1,1.0000,3,3,34.433567,124.012027
164,33.5900,27,5,0,5,1,1.0000,10,4,33.053772,113.306635
165,59.0400,22,5,0,5,1,1.0000,7,2,34.426981,107.798212
166,64.2500,15,5,0,5,1,1.0000,5,3,36.102009,165.983871
167,28.9700,31,5,0,5,1,1.0000,11,4,36.649702,127.303279
168,38.7800,34,5,0,5,1,1.0000,10,3,32.755169,163.473346
169,28.3600,38,5,0,5,1,1.0000,12,3,34.060240,234.889568
170,39.0800,24,5,0,5,1,1.0000,9,4,31.456844,121.027386
171,34.2000,20,4,1,5,1,0.8000,5,4,26.940656,169.253870
172,54.0700,21,5,0,5,1,1.0000,7,3,36.558972,114.534940
173,63.9100,23,5,0,5,1,1.0000,5,3,30.264227,141.007771
174,63.8100,23,5,0,5,1,1.0000,5,3,29.744565,202.325018
175,73.9200,16,5,0,5,1,1.0000,3,3,29.031430,155.875745
176,64.4500,15,5,0,5,1,1.0000,6,2,29.499980,155.581290
177,47.9300,39,5,0,5,1,1.0000,7,4,32.664577,159.336583
178,58.4800,24,5,0,5,1,1.0000,6,3,29.103364,128.019510
179,29.1800,24,5,0,5,1,1.0000,12,3,29.431154,140.221423
180,69.4200,16,5,0,5,1,1.0000,3,4,24.810197,146.058519
181,49.1700,21,4,1,5,1,0.8000,3,3,29.217998,132.253575
182,38.7900,27,5,0,5,1,1.0000,11,2,27.135085,139.747229
183,43.2000,30,5,0,5,1,1.0000,8,4,29.150265,165.915723
184,49.1700,21,5,0,5,1,1.0000,8,3,29.578215,183.169783
185,29.3100,23,4,1,5,1,0.8000,10,0,29.628845,113.286005
186,53.7300,19,5,0,5,1,1.0000,7,3,32.665528,130.050871
187,49.0200,26,4,1,5,1,0.8000,4,2,29.783886,140.928722
188,48.4900,27,5,0,5,1,1.0000,10,1,25.815437,131.096072
189,33.6900,27,4,1,5,1,0.8000,7,2,27.724631,111.306776
190,63.6000,20,5,0,5,1,1.0000,6,2,26.974562,177.350128
191,74.4800,14,5,0,5,1,1.0000,3,3,24.091654,172.129332
192,53.9700,21,5,0,5,1,1.0000,6,4,26.629265,140.224409
193,64.7000,10,5,0,5,1,1.0000,5,3,29.398338,132.440661
194,69.0700,21,5,0,5,1,1.0000,5,2,27.911151,135.472078
195,69.3100,13,5,0,5,1,1.0000,5,2,24.596476,197.209732
196,74.5100,13,5,0,5,1,1.0000,4,2,24.345079,128.131291
197,49.5200,16,5,0,5,1,1.0000,8,3,27.684157,146.023080
198,69.2100,13,5,0,5,1,1.0000,4,3,24.003607,106.608424
199,28.5900,37,5,0,5,1,1.0000,13,2,26.704485,143.184975
200,53.3200,46,5,0,5,1,1.0000,7,3,27.660862,171.039136
201,13.2700,41,5,0,5,1,1.0000,16,2,26.278754,125.489006
202,63.8000,20,5,0,5,1,1.0000,6,2,26.652912,131.552661
203,63.8100,23,5,0,5,1,1.0000,5,3,26.118411,124.482416
204,74.1100,13,5,0,5,1,1.0000,3,3,24.247332,160.798503
205,48.7900,27,5,0,5,1,1.0000,7,4,25.756218,179.168355
206,58.7400,22,5,0,5,1,1.0000,5,4,23.635909,125.073557
207,23.2000,30,4,1,5,1,0.8000,8,3,21.586871,102.806909
208,64.2200,16,5,0,5,1,1.0000,4,4,21.233801,122.989195
209,58.7700,31,5,0,5,1,1.0000,8,1,20.715560,134.274873
210,58.9900,17,5,0,5,1,1.0000,7,2,22.485008,127.659406
211,64.3800,14,5,0,5,1,1.0000,5,3,20.927382,126.599352
212,68.9300,19,5,0,5,1,1.0000,5,2,25.136584,137.302881
213,59.0100,23,5,0,5,1,1.0000,6,3,22.064315,158.407773
214,43.5900,27,4,1,5,1,0.8000,6,1,18.912097,144.221915
215,38.4000,40,5,0,5,1,1.0000,10,3,21.258203,212.975323
216,69.3200,16,5,0,5,1,1.0000,4,3,22.360300,144.385983
217,69.4500,15,5,0,5,1,1.0000,4,3,21.750545,187.355429
218,44.1100,23,5,0,5,1,1.0000,10,2,23.405011,179.320576
219,23.1300,49,4,1,5,1,0.8000,11,0,21.532049,138.180608
220,73.9200,16,5,0,5,1,1.0000,4,2,22.971671,184.905150
221,58.7800,24,5,0,5,1,1.0000,6,3,23.577568,159.647610
222,68.9800,24,5,0,5,1,1.0000,6,1,22.652196,140.226408
223,74.6700,11,5,0,5,1,1.0000,4,2,19.384620,184.812442
224,69.1900,17,5,0,5,1,1.0000,6,1,18.933040,119.601137
225,79.1400,12,5,0,5,1,1.0000,2,3,18.557999,153.625975
226,-2.9800,56,3,2,5,1,0.6000,11,1,19.427047,156.969089
227,34.2600,18,4,1,5,1,0.8000,5,4,19.032833,144.087967
228,63.8000,20,5,0,5,1,1.0000,5,3,18.436040,158.631302
229,64.1000,20,5,0,5,1,1.0000,5,3,20.804360,135.713240
230,53.7900,27,5,0,5,1,1.0000,7,3,18.220156,188.175504
231,23.5600,28,4,1,5,1,0.8000,10,1,20.156168,140.244807
232,79.1800,14,5,0,5,1,1.0000,4,1,17.772966,126.125137
233,64.2200,16,5,0,5,1,1.0000,6,2,16.920435,162.066011
234,53.5400,32,5,0,5,1,1.0000,8,2,21.747122,190.507852
235,48.8500,25,5,0,5,1,1.0000,8,3,20.363469,146.988196
236,54.0700,21,5,0,5,1,1.0000,9,1,21.411860,132.504082
237,43.7300,39,5,0,5,1,1.0000,11,1,22.173840,147.499907
238,74.0700,21,5,0,5,1,1.0000,3,3,20.418585,151.698936
239,74.0800,14,5,0,5,1,1.0000,3,3,19.319691,191.284399
240,48.5400,32,5,0,5,1,1.0000,9,2,16.131814,118.643661
241,74.7600,8,5,0,5,1,1.0000,4,2,13.776712,179.032036
242,54.2500,15,5,0,5,1,1.0000,8,2,18.826548,145.216595
243,54.4200,16,4,1,5,1,0.8000,1,4,16.157330,129.129184
244,74.7000,10,5,0,5,1,1.0000,3,3,14.259303,152.726447
245,79.7600,8,5,0,5,1,1.0000,2,3,21.414059,142.853015
246,79.2400,12,5,0,5,1,1.0000,2,3,18.384807,148.692159
247,74.4700,11,5,0,5,1,1.0000,3,3,18.147279,124.028104
248,74.6000,10,5,0,5,1,1.0000,3,3,16.757253,121.483554
249,23.8700,31,5,0,5,1,1.0000,12,4,16.545890,113.150159
250,74.3800,14,5,0,5,1,1.0000,5,1,17.212656,177.269556
251,43.9400,32,5,0,5,1,1.0000,9,3,16.130137,122.884224
252,69.3000,20,5,0,5,1,1.0000,4,3,15.281538,143.660248
253,69.2600,18,5,0,5,1,1.0000,4,3,15.778821,139.139621
254,39.0500,25,4,1,5,1,0.8000,7,1,14.615163,117.009523
255,39.2800,24,4,1,5,1,0.8000,8,0,13.160103,164.313466
256,74.6600,8,5,0,5,1,1.0000,3,3,15.648396,138.542596
257,49.4200,16,5,0,5,1,1.0000,8,3,15.869962,150.324698
258,63.7700,31,5,0,5,1,1.0000,7,1,15.634593,149.958832
259,69.4700,11,5,0,5,1,1.0000,5,2,11.070668,179.670863
260,49.1500,25,4,1,5,1,0.8000,3,3,15.040183,128.373024
261,59.2900,17,5,0,5,1,1.0000,7,2,15.108824,153.789597
262,69.2400,22,5,0,5,1,1.0000,5,2,14.958673,113.984476
263,69.5400,12,5,0,5,1,1.0000,4,3,17.727638,144.410236
264,53.9400,22,5,0,5,1,1.0000,8,2,17.198749,115.940538
265,74.5400,12,5,0,5,1,1.0000,4,2,14.796581,118.232248
266,69.1900,17,5,0,5,1,1.0000,5,2,14.961549,122.780402
267,28.2300,39,5,0,5,1,1.0000,13,2,15.841469,172.241586
268,63.6100,33,5,0,5,1,1.0000,6,2,16.478275,133.381781
269,69.2100,13,5,0,5,1,1.0000,5,2,15.684699,148.852080
270,74.5400,12,5,0,5,1,1.0000,4,2,18.879799,128.169092
271,74.2800,14,5,0,5,1,1.0000,4,2,14.408930,91.059221
272,39.3600,18,4,1,5,1,0.8000,7,1,13.946895,141.021367
273,54.2600,18,4,1,5,1,0.8000,4,1,10.705197,146.163640
274,33.5400,32,5,0,5,1,1.0000,11,3,13.975418,152.167993
275,69.3100,13,5,0,5,1,1.0000,3,4,10.287758,133.286952
276,69.2200,16,5,0,5,1,1.0000,5,2,14.763777,116.063464
277,74.3700,11,5,0,5,1,1.0000,4,2,16.253584,118.782585
278,54.4000,20,4,1,5,1,0.8000,4,1,11.568029,144.164543
279,63.9900,27,5,0,5,1,1.0000,6,2,11.027251,97.187798
280,74.1600,18,5,0,5,1,1.0000,4,2,10.289881,175.607751
281,48.9100,33,5,0,5,1,1.0000,9,2,11.376665,115.045122
282,79.6900,7,5,0,5,1,1.0000,2,3,11.375558,109.546210
283,68.8900,17,5,0,5,1,1.0000,4,3,13.281721,173.643930
284,74.1900,17,5,0,5,1,1.0000,5,1,11.568392,150.952733
285,69.4500,15,5,0,5,1,1.0000,5,2,14.728590,150.400150
286,48.9100,23,5,0,5,1,1.0000,9,2,10.843784,114.361958
287,43.9600,28,4,1,5,1,0.8000,5,2,12.974354,117.828752
288,58.6800,24,5,0,5,1,1.0000,8,1,10.953136,103.445038
289,64.1200,16,5,0,5,1,1.0000,6,2,9.956909,134.817442
290,68.6200,26,5,0,5,1,1.0000,6,1,11.331323,134.622389
291,58.9000,20,4,1,5,1,0.8000,1,3,12.142146,133.197990
292,59.1200,26,5,0,5,1,1.0000,7,2,10.165476,112.098929
293,48.7200,26,5,0,5,1,1.0000,8,3,14.113590,159.543272
294,63.7100,23,5,0,5,1,1.0000,6,2,9.660552,94.780135
295,59.2300,19,5,0,5,1,1.0000,5,4,9.703419,151.153632
296,37.6300,59,5,0,5,1,1.0000,12,1,11.755553,120.217126
297,69.5700,11,5,0,5,1,1.0000,4,3,11.959560,97.332004
298,74.7300,9,5,0,5,1,1.0000,4,2,10.289961,93.242308
299,54.3300,19,5,0,5,1,1.0000,9,1,11.737055,123.001923
300,43.6000,40,5,0,5,1,1.0000,10,2,10.051217,112.050745
301,74.6000,10,5,0,5,1,1.0000,4,2,9.343628,173.262509
302,69.4600,18,5,0,5,1,1.0000,6,1,8.170496,124.718073
303,69.2800,14,5,0,5,1,1.0000,5,2,10.059910,120.033758
304,73.8300,19,5,0,5,1,1.0000,5,1,12.629536,92.653998
