episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,49.1600,18,5,0,5,1,1.0000,6,5,,
2,43.9500,25,5,0,5,1,1.0000,10,2,,
3,64.1200,16,5,0,5,1,1.0000,4,4,,
4,58.6800,24,5,0,5,1,1.0000,7,2,73.218172,
5,49.2200,16,5,0,5,1,1.0000,8,3,71.649015,
6,69.4000,10,5,0,5,1,1.0000,3,4,82.477914,
7,23.6500,25,4,1,5,1,0.8000,8,3,81.775633,
8,44.4200,16,5,0,5,1,1.0000,8,4,69.950126,
9,-7.0400,38,4,1,5,1,0.8000,13,4,67.571950,
10,38.7300,19,4,1,5,1,0.8000,5,3,65.364159,
11,44.1000,20,5,0,5,1,1.0000,9,3,51.450993,
12,-16.1000,30,4,1,5,1,0.8000,18,1,47.947725,
13,8.4000,30,4,1,5,1,0.8000,9,5,57.812582,256.932358
14,43.9400,22,5,0,5,1,1.0000,8,4,51.544344,248.847421
15,53.9700,21,5,0,5,1,1.0000,7,3,46.162577,239.181155
16,3.1500,45,5,0,5,1,1.0000,18,2,41.874041,218.743433
17,-32.1100,47,3,2,5,1,0.6000,16,1,39.621560,266.773151
18,54.1300,19,5,0,5,1,1.0000,6,4,37.566506,247.657166
19,-1.1200,24,4,1,5,1,0.8000,11,5,35.142410,232.678415
20,69.5000,10,5,0,5,1,1.0000,4,3,46.265512,261.299017
21,64.7300,9,5,0,5,1,1.0000,4,4,59.634830,256.427155
22,-41.6200,44,4,1,5,1,0.8000,21,3,48.873678,310.563608
23,-62.1700,49,3,2,5,1,0.6000,22,1,49.178313,303.447925
24,-32.6900,43,4,1,5,1,0.8000,19,4,47.936924,336.301556
25,64.5700,11,5,0,5,1,1.0000,4,4,48.860364,384.099683
26,49.1400,22,5,0,5,1,1.0000,8,3,44.505948,385.829120
27,49.2000,20,5,0,5,1,1.0000,8,3,42.977159,384.207806
28,23.8600,28,5,0,5,1,1.0000,13,3,56.780855,320.881342
29,32.6000,40,5,0,5,1,1.0000,11,3,54.208040,397.435284
30,-31.0700,29,3,2,5,1,0.6000,15,2,50.251106,377.948874
31,44.1400,22,5,0,5,1,1.0000,10,2,51.283628,301.633817
32,39.0100,23,4,1,5,1,0.8000,5,3,48.701420,338.226614
33,-1.2100,27,4,1,5,1,0.8000,13,3,49.584906,333.342633
34,28.6100,33,5,0,5,1,1.0000,11,4,50.749525,306.744720
35,49.2000,20,5,0,5,1,1.0000,7,4,50.650168,352.377167
36,-26.5400,38,4,1,5,1,0.8000,18,3,49.262347,336.295175
37,54.5100,13,5,0,5,1,1.0000,6,4,49.061174,338.255002
38,-26.3500,35,3,2,5,1,0.6000,15,1,46.692787,361.368158
39,49.1300,19,4,1,5,1,0.8000,5,1,48.501134,298.143179
40,64.2500,15,5,0,5,1,1.0000,5,3,48.650356,277.946771
41,64.3100,13,5,0,5,1,1.0000,4,4,45.718353,259.353537
42,53.8900,17,5,0,5,1,1.0000,5,5,49.801132,325.475726
43,39.3000,20,5,0,5,1,1.0000,8,5,46.042232,270.489151
44,-41.7200,44,4,1,5,1,0.8000,22,2,49.083372,235.235336
45,74.0200,16,5,0,5,1,1.0000,4,2,44.255405,306.392438
46,63.4600,18,5,0,5,1,1.0000,4,4,41.434724,376.478885
47,-11.2000,30,3,2,5,1,0.6000,10,3,44.851732,306.403430
48,58.9800,24,5,0,5,1,1.0000,7,2,45.280033,273.668256
49,69.0500,15,5,0,5,1,1.0000,4,3,50.081402,234.136652
50,44.0900,17,4,1,5,1,0.8000,4,3,45.531997,270.793839
51,33.8700,21,4,1,5,1,0.8000,7,2,47.202880,308.589587
52,69.3900,17,5,0,5,1,1.0000,5,2,41.451925,233.207806
53,63.4700,21,5,0,5,1,1.0000,4,4,44.501446,246.489160
54,-0.9700,29,4,1,5,1,0.8000,13,3,50.960275,249.936621
55,59.2200,16,5,0,5,1,1.0000,6,3,47.620584,235.016745
56,64.1200,16,5,0,5,1,1.0000,5,3,49.652506,207.107718
57,59.2300,19,5,0,5,1,1.0000,6,3,50.186321,253.925934
58,-88.7800,66,2,3,5,1,0.4000,19,5,49.379115,223.999249
59,64.5400,12,5,0,5,1,1.0000,4,4,42.248143,239.045929
60,24.0800,24,5,0,5,1,1.0000,13,3,49.733625,175.219867
61,54.4100,13,5,0,5,1,1.0000,6,4,45.708864,206.407436
62,54.4200,16,5,0,5,1,1.0000,7,3,50.937859,171.915573
63,64.2500,15,5,0,5,1,1.0000,5,3,53.920609,267.421765
64,14.1500,25,4,1,5,1,0.8000,11,2,46.948990,230.126964
65,-12.6300,41,4,1,5,1,0.8000,17,2,49.369473,263.647026
66,74.2400,12,5,0,5,1,1.0000,3,3,45.167042,134.855374
67,-1.8700,29,3,2,5,1,0.6000,9,2,46.329033,197.279710
68,43.8900,27,5,0,5,1,1.0000,10,2,41.237325,165.437827
69,-42.2200,44,4,1,5,1,0.8000,21,3,45.446355,257.278619
70,49.0400,22,5,0,5,1,1.0000,7,4,48.016480,197.350259
71,19.1100,23,4,1,5,1,0.8000,9,3,48.772065,299.676550
72,74.1100,13,5,0,5,1,1.0000,3,3,44.021754,256.913530
73,33.9000,30,5,0,5,1,1.0000,11,3,43.972598,227.254050
74,74.1900,17,5,0,5,1,1.0000,4,2,43.239866,205.328961
75,28.4100,33,5,0,5,1,1.0000,12,3,45.756812,188.354330
76,3.8000,30,4,1,5,1,0.8000,11,4,43.839782,253.091956
77,33.9400,32,5,0,5,1,1.0000,12,2,43.182538,140.762953
78,-1.7400,48,4,1,5,1,0.8000,14,2,41.570839,205.801706
