episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,13.8600,28,5,0,5,1,1.0000,15,3,,
2,69.4100,13,5,0,5,1,1.0000,4,3,,
3,33.8600,28,4,1,5,1,0.8000,6,3,65.167957,
4,44.1300,19,5,0,5,1,1.0000,10,2,70.436982,
5,34.1100,23,5,0,5,1,1.0000,11,3,73.535039,
6,39.0600,18,4,1,5,1,0.8000,5,3,66.307530,
7,-16.9100,37,3,2,5,1,0.6000,11,3,63.969887,
8,64.7000,10,5,0,5,1,1.0000,4,4,57.231848,
9,13.3700,31,4,1,5,1,0.8000,11,2,54.639306,
10,63.7100,23,5,0,5,1,1.0000,6,2,57.398534,
11,58.9600,18,5,0,5,1,1.0000,6,3,44.069320,
12,23.8400,22,4,1,5,1,0.8000,8,3,38.352236,
13,73.8000,20,5,0,5,1,1.0000,4,2,59.920723,358.820389
14,49.4900,17,5,0,5,1,1.0000,8,3,49.067103,339.262323
15,28.9700,21,5,0,5,1,1.0000,12,3,47.537736,359.917920
16,38.9800,24,5,0,5,1,1.0000,9,4,40.461983,358.631891
17,13.5400,32,5,0,5,1,1.0000,15,3,32.042103,330.470721
18,3.1800,34,4,1,5,1,0.8000,11,4,29.927361,364.624231
19,29.0600,18,4,1,5,1,0.8000,7,3,31.929655,357.437415
20,54.2200,16,5,0,5,1,1.0000,8,2,31.613298,364.898169
21,49.4200,16,5,0,5,1,1.0000,8,3,29.704073,381.923792
22,68.8500,15,5,0,5,1,1.0000,4,3,70.998539,347.610840
23,18.1300,29,4,1,5,1,0.8000,11,1,62.661134,339.649658
24,-42.0400,48,4,1,5,1,0.8000,22,2,51.791017,411.571490
25,32.8700,31,5,0,5,1,1.0000,10,4,48.483290,405.270410
26,64.3400,12,5,0,5,1,1.0000,4,4,43.150364,378.827600
27,59.4900,17,5,0,5,1,1.0000,6,3,42.297215,360.989960
28,-1.1900,33,4,1,5,1,0.8000,14,2,48.449577,384.725952
29,59.4200,16,5,0,5,1,1.0000,7,2,49.941292,372.406958
30,69.3100,13,5,0,5,1,1.0000,5,2,70.116411,368.753308
31,-36.9000,40,3,2,5,1,0.6000,17,1,62.508711,397.435699
32,58.9000,20,5,0,5,1,1.0000,6,3,59.234786,400.134637
33,54.5500,15,5,0,5,1,1.0000,7,3,59.696679,381.095251
34,39.1700,21,5,0,5,1,1.0000,10,3,53.089405,381.761102
35,44.1700,21,5,0,5,1,1.0000,10,2,58.972766,365.210516
36,49.1000,20,5,0,5,1,1.0000,10,1,54.844725,345.142130
37,43.9800,24,5,0,5,1,1.0000,10,2,57.865107,369.272150
38,18.5900,27,4,1,5,1,0.8000,10,2,55.416818,336.729819
39,69.5400,12,5,0,5,1,1.0000,5,2,62.278530,391.350403
40,3.3600,38,4,1,5,1,0.8000,12,3,56.147197,364.939587
41,24.0400,22,4,1,5,1,0.8000,8,3,53.564344,352.270453
42,3.6400,32,3,2,5,1,0.6000,8,2,52.985557,327.709198
43,59.5200,16,5,0,5,1,1.0000,6,3,55.827544,299.704825
44,74.2200,16,5,0,5,1,1.0000,5,1,49.138880,294.983911
45,18.0000,40,5,0,5,1,1.0000,14,3,52.672072,331.992877
46,63.8000,20,5,0,5,1,1.0000,5,3,51.037510,326.119470
47,-21.3600,32,4,1,5,1,0.8000,16,4,56.447605,346.547565
48,63.7000,20,5,0,5,1,1.0000,6,2,57.085779,305.980292
49,69.6000,10,5,0,5,1,1.0000,3,4,49.463404,315.742563
50,74.2700,11,5,0,5,1,1.0000,3,3,54.405542,291.893951
51,69.6000,10,5,0,5,1,1.0000,5,2,53.509372,281.185883
52,48.6500,25,5,0,5,1,1.0000,8,3,55.220933,348.646927
53,64.4400,12,5,0,5,1,1.0000,5,3,54.480810,262.979990
54,64.6700,11,5,0,5,1,1.0000,4,4,58.441890,295.036804
55,54.2500,15,5,0,5,1,1.0000,6,4,51.040074,264.651657
56,23.5800,24,4,1,5,1,0.8000,7,4,57.639190,296.572806
57,48.6600,28,5,0,5,1,1.0000,9,2,55.957562,257.318500
58,-10.9400,28,3,2,5,1,0.6000,11,2,55.453767,278.977008
59,59.6400,12,5,0,5,1,1.0000,5,4,58.104444,260.517981
60,14.1800,24,4,1,5,1,0.8000,12,1,61.096915,252.038278
61,-1.3800,36,4,1,5,1,0.8000,12,4,54.703297,254.418622
62,49.3900,17,5,0,5,1,1.0000,8,3,52.366582,234.038589
63,39.2300,19,4,1,5,1,0.8000,7,1,56.387594,231.399179
64,53.9600,18,5,0,5,1,1.0000,6,4,53.738024,252.970261
65,8.5600,28,4,1,5,1,0.8000,13,1,52.828953,262.442621
66,-42.6500,45,3,2,5,1,0.6000,17,3,52.699547,228.639420
67,74.2100,13,5,0,5,1,1.0000,3,3,66.616940,223.811469
68,48.7100,23,5,0,5,1,1.0000,7,4,61.947847,161.790787
69,63.9400,22,5,0,5,1,1.0000,5,3,55.850474,190.990436
70,79.2400,12,5,0,5,1,1.0000,3,2,59.319633,183.645404
71,48.9800,24,5,0,5,1,1.0000,7,4,56.768938,188.969766
72,39.2300,19,5,0,5,1,1.0000,10,3,55.797679,196.851764
73,74.6300,9,5,0,5,1,1.0000,3,3,57.906959,217.904987
74,-1.5600,32,3,2,5,1,0.6000,10,1,53.630411,194.818082
75,49.4300,19,5,0,5,1,1.0000,10,1,54.439050,175.067468
76,74.4400,12,5,0,5,1,1.0000,3,3,53.176218,160.529810
77,69.4400,12,5,0,5,1,1.0000,4,3,55.194221,172.250085
78,28.6100,33,5,0,5,1,1.0000,13,2,55.966080,187.121387
79,49.4000,20,5,0,5,1,1.0000,9,2,55.109316,194.500302
80,8.4500,35,4,1,5,1,0.8000,12,2,55.753555,161.308371
81,-16.6600,42,4,1,5,1,0.8000,16,3,52.832173,191.581635
82,13.5900,37,5,0,5,1,1.0000,16,2,52.447489,189.581570
83,74.7000,10,5,0,5,1,1.0000,4,2,51.411506,147.152762
84,59.4800,14,5,0,5,1,1.0000,6,3,56.098375,166.498868
