episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
89,3.9700,31,4,1,5,1,0.8000,12,3,39.087491,145.702463
90,3.4900,37,4,1,5,1,0.8000,12,3,42.892764,203.514635
91,28.3200,36,5,0,5,1,1.0000,12,3,40.033104,157.055133
92,64.4800,14,5,0,5,1,1.0000,6,2,40.756208,165.487691
93,29.3900,17,4,1,5,1,0.8000,8,2,37.611203,174.060384
94,79.2400,12,5,0,5,1,1.0000,3,2,39.225967,209.338031
95,38.8000,20,4,1,5,1,0.8000,4,4,44.333302,193.542242
96,64.4400,12,5,0,5,1,1.0000,5,3,35.029168,178.982825
97,-31.7700,49,4,1,5,1,0.8000,19,3,37.213846,200.876953
98,53.3100,23,5,0,5,1,1.0000,7,3,42.012977,161.996028
99,74.2100,13,5,0,5,1,1.0000,3,3,40.261827,208.645633
100,38.3300,29,5,0,5,1,1.0000,8,5,41.975902,166.100055
101,59.1000,20,5,0,5,1,1.0000,8,1,40.503600,101.432716
102,73.9500,15,5,0,5,1,1.0000,3,3,39.441312,182.814882
103,69.1800,14,5,0,5,1,1.0000,3,4,39.466046,165.084435
104,49.0700,21,5,0,5,1,1.0000,6,5,39.924158,144.006563
105,49.2600,18,4,1,5,1,0.8000,3,3,37.334194,101.563884
106,12.6900,37,4,1,5,1,0.8000,9,4,41.730866,145.894505
107,43.6100,33,5,0,5,1,1.0000,10,2,43.709670,124.327657
108,54.3900,17,5,0,5,1,1.0000,6,4,44.832041,170.819498
109,7.5700,41,4,1,5,1,0.8000,10,4,42.557693,188.787051
110,59.3600,18,5,0,5,1,1.0000,7,2,39.097659,129.271243
111,64.0500,15,5,0,5,1,1.0000,4,4,38.374074,165.666078
112,19.2000,20,4,1,5,1,0.8000,9,3,41.701132,158.887694
113,19.3400,22,4,1,5,1,0.8000,11,1,39.313863,177.110973
114,73.8500,15,5,0,5,1,1.0000,2,4,47.082730,124.830338
115,39.0700,21,5,0,5,1,1.0000,9,4,40.525437,102.029285
116,12.9300,39,5,0,5,1,1.0000,15,3,43.712937,155.736967
