episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,13.2400,32,5,0,5,1,1.0000,14,4,,
2,28.4400,32,5,0,5,1,1.0000,13,2,59.095734,
3,59.2300,19,5,0,5,1,1.0000,5,4,50.816657,
4,64.5400,12,5,0,5,1,1.0000,5,3,66.054642,
5,28.9600,28,5,0,5,1,1.0000,12,3,69.113171,
6,-26.4800,36,4,1,5,1,0.8000,19,2,59.461639,
7,43.8500,25,5,0,5,1,1.0000,9,3,50.814899,
8,-11.4900,33,4,1,5,1,0.8000,17,1,41.816473,
9,-97.0900,53,3,2,5,1,0.6000,27,3,36.860994,
10,59.3500,15,5,0,5,1,1.0000,5,4,47.414177,
11,48.6400,22,5,0,5,1,1.0000,6,5,40.855157,
12,-32.9600,52,4,1,5,1,0.8000,20,3,31.551769,
13,32.9300,39,5,0,5,1,1.0000,12,2,27.384301,560.366943
14,34.1100,23,5,0,5,1,1.0000,11,3,28.537401,542.842737
15,28.9400,22,4,1,5,1,0.8000,8,2,27.103107,528.834320
16,9.3300,19,4,1,5,1,0.8000,12,2,24.663849,523.426965
17,59.3400,12,5,0,5,1,1.0000,5,4,37.625595,562.360034
18,74.4300,9,5,0,5,1,1.0000,2,4,57.383583,516.357648
19,44.1000,20,5,0,5,1,1.0000,8,4,49.991652,497.546844
20,23.9100,23,4,1,5,1,0.8000,8,3,45.639725,544.991168
21,8.7300,29,4,1,5,1,0.8000,11,3,49.678855,466.796802
22,74.3800,14,5,0,5,1,1.0000,4,2,41.116735,496.073822
23,48.3900,27,5,0,5,1,1.0000,7,4,45.085338,487.051965
24,59.5200,16,5,0,5,1,1.0000,5,4,44.067529,427.793591
25,39.0400,22,5,0,5,1,1.0000,11,2,46.723931,465.530725
26,69.0600,18,5,0,5,1,1.0000,5,2,46.393520,435.151190
27,74.3700,11,5,0,5,1,1.0000,3,3,37.665555,458.931476
28,33.6600,28,4,1,5,1,0.8000,8,1,53.368671,428.860468
29,59.2500,15,5,0,5,1,1.0000,6,3,57.221874,387.201855
30,-43.0300,51,4,1,5,1,0.8000,22,3,51.194773,414.471368
31,59.5700,11,5,0,5,1,1.0000,5,4,53.130744,454.319525
32,69.2100,13,5,0,5,1,1.0000,4,3,55.280244,359.517371
33,43.2900,27,5,0,5,1,1.0000,7,5,57.960338,424.712134
34,28.9200,26,5,0,5,1,1.0000,12,3,56.760741,365.853534
35,13.9900,27,3,2,5,1,0.6000,7,1,53.521534,390.792090
36,33.5600,28,5,0,5,1,1.0000,10,4,57.084927,434.949316
37,59.3500,15,5,0,5,1,1.0000,6,3,54.778808,374.760315
38,44.2600,18,5,0,5,1,1.0000,10,2,52.801925,354.931989
39,59.5700,11,5,0,5,1,1.0000,5,4,55.045327,420.630768
40,-51.9200,54,4,1,5,1,0.8000,24,2,52.924009,407.277234
41,-21.8000,40,4,1,5,1,0.8000,16,4,54.179856,468.955359
42,13.7900,27,5,0,5,1,1.0000,13,5,51.219548,400.373877
43,54.4900,17,5,0,5,1,1.0000,7,3,55.434321,386.364697
44,13.7800,24,4,1,5,1,0.8000,12,1,54.891382,452.982776
45,2.9300,39,4,1,5,1,0.8000,15,0,56.581667,395.543204
46,69.4400,12,5,0,5,1,1.0000,5,2,58.560320,379.632440
47,63.8600,18,5,0,5,1,1.0000,4,4,53.071386,312.481329
48,33.3500,35,5,0,5,1,1.0000,11,3,54.329636,443.533917
49,74.3700,11,5,0,5,1,1.0000,3,3,48.655848,358.054675
50,18.3600,28,4,1,5,1,0.8000,9,3,55.306000,289.491422
51,69.4800,14,5,0,5,1,1.0000,4,3,53.578693,367.209604
52,63.4800,24,5,0,5,1,1.0000,5,3,52.144672,381.705457
53,64.5500,15,5,0,5,1,1.0000,6,2,55.191242,298.961731
54,-37.1500,45,4,1,5,1,0.8000,21,2,53.384964,319.922311
55,63.8300,19,5,0,5,1,1.0000,5,3,52.480990,343.207629
56,44.1300,19,4,1,5,1,0.8000,5,2,49.258312,304.131885
57,79.0500,15,5,0,5,1,1.0000,3,2,49.955349,319.439160
58,13.8400,32,4,1,5,1,0.8000,10,3,51.224415,378.621277
59,24.3600,18,4,1,5,1,0.8000,9,2,48.841450,275.071921
60,54.2200,16,5,0,5,1,1.0000,6,4,48.128164,254.449380
61,39.2100,23,5,0,5,1,1.0000,10,3,49.436435,345.152505
62,14.0300,29,4,1,5,1,0.8000,11,2,49.673124,239.186356
63,59.4700,11,5,0,5,1,1.0000,5,4,49.327113,211.197830
64,53.7100,23,5,0,5,1,1.0000,8,2,52.062075,210.900146
65,-26.5300,41,4,1,5,1,0.8000,18,3,49.268884,272.768182
66,64.0600,18,5,0,5,1,1.0000,6,2,48.886991,309.328174
67,64.4100,13,5,0,5,1,1.0000,5,3,48.343827,215.266946
68,53.7700,31,5,0,5,1,1.0000,8,2,50.415903,197.367003
69,64.4400,12,5,0,5,1,1.0000,6,2,50.039630,205.905843
70,39.0700,21,5,0,5,1,1.0000,10,3,52.341175,212.341504
71,-17.0800,46,4,1,5,1,0.8000,18,1,49.357810,262.470468
72,3.5100,43,5,0,5,1,1.0000,17,3,48.348676,233.651627
73,13.6300,39,5,0,5,1,1.0000,16,2,55.149924,214.132368
74,-1.0000,30,4,1,5,1,0.8000,14,2,51.677839,180.632668
75,7.7600,48,5,0,5,1,1.0000,17,2,49.226235,160.293791
76,58.6900,27,5,0,5,1,1.0000,5,4,51.326215,206.362262
77,64.2000,20,5,0,5,1,1.0000,4,4,49.468081,172.928519
78,74.2700,11,5,0,5,1,1.0000,3,3,54.605090,138.440823
79,39.2300,19,5,0,5,1,1.0000,9,4,50.146822,148.944196
80,3.4000,40,4,1,5,1,0.8000,13,2,51.042322,129.535782
81,69.5100,13,5,0,5,1,1.0000,4,3,52.086503,168.308716
82,58.9300,19,5,0,5,1,1.0000,6,3,49.904929,151.282321
83,53.4900,27,5,0,5,1,1.0000,8,2,52.340799,172.242734
84,8.8600,28,4,1,5,1,0.8000,10,4,49.632181,159.517168
85,59.1600,18,5,0,5,1,1.0000,6,3,48.779445,206.907709
86,24.2000,20,4,1,5,1,0.8000,9,2,48.950566,171.960928
87,-11.7900,43,5,0,5,1,1.0000,20,3,47.638583,160.931871
88,54.2200,16,5,0,5,1,1.0000,7,3,44.608282,146.281540
89,-6.3500,35,4,1,5,1,0.8000,15,2,49.249939,198.803879
90,69.7600,8,5,0,5,1,1.0000,3,4,49.952624,184.940889
91,68.7200,26,5,0,5,1,1.0000,4,3,46.619101,145.115065
92,-7.0700,39,4,1,5,1,0.8000,15,2,50.165967,191.348849
93,54.3300,19,5,0,5,1,1.0000,7,3,47.884528,151.497137
94,43.7100,23,5,0,5,1,1.0000,9,3,48.191689,181.546744
95,54.3200,16,5,0,5,1,1.0000,7,3,49.527786,213.587177
96,44.5200,16,5,0,5,1,1.0000,9,3,49.377825,156.912894
97,59.1900,17,5,0,5,1,1.0000,5,4,53.164988,178.021130
98,79.4800,14,5,0,5,1,1.0000,3,2,47.818565,138.789398
99,43.8800,24,5,0,5,1,1.0000,8,4,47.349758,169.563705
100,48.7100,23,5,0,5,1,1.0000,8,3,48.385749,190.002089
101,29.4000,20,4,1,5,1,0.8000,8,2,48.486427,165.026639
102,-16.4300,41,4,1,5,1,0.8000,16,3,51.124996,155.233900
103,64.2900,17,5,0,5,1,1.0000,4,4,51.316027,106.182681
104,23.5500,35,5,0,5,1,1.0000,14,2,45.001521,126.391934
105,-11.1900,33,3,2,5,1,0.6000,11,2,44.310667,171.311884
106,44.1300,19,4,1,5,1,0.8000,5,2,45.643095,104.786668
107,23.7500,35,4,1,5,1,0.8000,7,4,45.651819,104.187949
108,74.5000,10,5,0,5,1,1.0000,3,3,45.854506,149.365970
109,64.3200,16,5,0,5,1,1.0000,5,3,49.595155,111.706847
110,69.3800,14,5,0,5,1,1.0000,5,2,45.373502,136.518565
111,49.1700,21,5,0,5,1,1.0000,8,3,44.334771,133.683389
112,49.3600,18,4,1,5,1,0.8000,5,1,40.862818,133.619533
113,64.5800,14,5,0,5,1,1.0000,6,2,42.353651,129.668042
114,-16.3500,35,4,1,5,1,0.8000,17,2,40.789268,153.527145
115,79.2100,13,5,0,5,1,1.0000,3,2,39.239947,146.111636
116,64.3900,17,5,0,5,1,1.0000,6,2,43.457109,153.712271
117,38.8700,21,4,1,5,1,0.8000,7,1,41.325502,121.935260
118,-16.1200,34,3,2,5,1,0.6000,12,2,39.000338,145.726534
119,49.0600,28,5,0,5,1,1.0000,8,3,37.571011,108.909918
120,8.5200,46,5,0,5,1,1.0000,16,3,41.407595,111.014317
121,74.5000,10,5,0,5,1,1.0000,3,3,46.333528,161.582851
122,29.3900,17,4,1,5,1,0.8000,8,2,42.326347,164.121074
123,-6.3800,36,5,0,5,1,1.0000,17,5,42.642958,132.515918
124,-16.9500,45,4,1,5,1,0.8000,18,1,41.584066,122.631010
125,43.6500,25,5,0,5,1,1.0000,8,4,39.776265,116.535144
126,79.3800,14,5,0,5,1,1.0000,3,2,42.250488,147.076752
127,64.4200,16,5,0,5,1,1.0000,6,2,41.055839,153.730331
128,59.4900,17,5,0,5,1,1.0000,7,2,39.804421,82.762765
129,38.6600,28,5,0,5,1,1.0000,9,4,39.260862,216.677136
130,-26.7300,51,3,2,5,1,0.6000,16,0,41.326500,117.863065
131,3.1600,38,4,1,5,1,0.8000,13,2,36.338474,150.237955
132,34.0700,21,4,1,5,1,0.8000,7,2,37.450924,96.639867
133,43.7900,27,5,0,5,1,1.0000,8,4,34.823539,159.972310
134,63.9000,20,5,0,5,1,1.0000,6,2,40.017559,149.729527
135,44.1000,20,5,0,5,1,1.0000,7,5,36.798601,161.703835
136,67.8300,29,5,0,5,1,1.0000,5,2,40.124440,144.692683
137,38.9900,27,5,0,5,1,1.0000,10,3,37.763059,125.836246
138,64.1900,17,5,0,5,1,1.0000,6,2,34.364908,114.041687
139,23.8300,29,5,0,5,1,1.0000,12,4,38.044521,140.577168
140,74.2500,15,5,0,5,1,1.0000,4,2,36.055594,113.332544
141,44.2000,20,4,1,5,1,0.8000,5,2,37.867162,135.926422
142,28.5200,36,5,0,5,1,1.0000,12,3,35.833349,115.924899
143,79.2800,14,5,0,5,1,1.0000,3,2,35.275814,74.337450
144,68.8600,18,5,0,5,1,1.0000,3,4,31.934083,134.199110
145,43.2900,37,5,0,5,1,1.0000,10,2,32.842316,146.133238
146,28.5700,31,4,1,5,1,0.8000,7,3,31.883701,94.138891
147,33.0700,41,5,0,5,1,1.0000,11,3,29.456268,138.021475
148,59.1200,16,5,0,5,1,1.0000,5,4,34.482150,101.801076
149,73.6600,18,5,0,5,1,1.0000,4,2,30.765797,95.108103
150,47.9100,33,5,0,5,1,1.0000,9,2,30.680815,182.015961
151,74.0200,16,5,0,5,1,1.0000,4,2,32.626304,85.019888
152,54.0000,20,5,0,5,1,1.0000,8,2,31.651102,131.898830
153,69.4700,11,5,0,5,1,1.0000,3,4,29.162672,100.534920
154,33.2700,31,4,1,5,1,0.8000,8,1,30.806313,91.984247
155,23.8000,30,4,1,5,1,0.8000,5,6,31.409801,81.651060
156,78.4600,18,5,0,5,1,1.0000,3,2,30.617125,113.515387
157,49.1200,16,5,0,5,1,1.0000,7,4,29.498175,98.592027
158,63.3500,25,5,0,5,1,1.0000,6,2,32.003066,99.503685
159,59.3500,15,5,0,5,1,1.0000,6,3,26.511921,66.056335
160,34.3300,19,4,1,5,1,0.8000,8,1,29.378273,76.477654
161,12.7500,45,4,1,5,1,0.8000,12,1,32.392008,81.826720
162,18.6500,35,5,0,5,1,1.0000,14,3,27.072005,111.966418
163,68.8700,21,5,0,5,1,1.0000,5,2,30.811165,146.976024
164,39.1700,21,4,1,5,1,0.8000,5,3,30.167145,90.400284
165,28.8000,30,5,0,5,1,1.0000,13,2,30.349415,136.597626
166,28.7000,30,5,0,5,1,1.0000,13,2,26.221528,104.318643
167,-1.4400,38,4,1,5,1,0.8000,15,1,27.800995,115.873688
168,33.7500,35,5,0,5,1,1.0000,11,3,27.892455,131.315962
169,59.2600,18,5,0,5,1,1.0000,6,3,24.958798,120.942898
170,58.9700,21,5,0,5,1,1.0000,7,2,29.778929,110.558792
171,68.8200,16,5,0,5,1,1.0000,3,4,28.136551,120.603314
172,69.1800,14,5,0,5,1,1.0000,4,3,29.094186,93.515948
173,58.5700,21,5,0,5,1,1.0000,6,3,25.832603,125.621613
174,58.8400,22,5,0,5,1,1.0000,6,3,25.117121,132.972096
175,68.5000,20,5,0,5,1,1.0000,3,4,26.642028,146.345380
176,74.0600,18,5,0,5,1,1.0000,3,3,27.569365,127.948041
177,43.2300,29,5,0,5,1,1.0000,8,4,26.658609,126.351305
178,78.9200,26,5,0,5,1,1.0000,3,2,26.980820,118.784818
179,49.3900,17,5,0,5,1,1.0000,8,3,25.492560,110.022775
180,23.7300,29,4,1,5,1,0.8000,9,2,23.462486,122.554774
181,38.6900,27,5,0,5,1,1.0000,10,3,24.981629,111.815552
182,-1.3900,43,4,1,5,1,0.8000,14,2,24.160262,91.492101
183,17.3000,60,5,0,5,1,1.0000,10,7,25.032492,109.396139
184,64.4200,16,5,0,5,1,1.0000,6,2,24.612993,109.814873
185,68.8000,20,5,0,5,1,1.0000,4,3,20.441899,99.694167
186,-41.9700,49,4,1,5,1,0.8000,18,6,22.589515,140.878055
187,69.4800,14,5,0,5,1,1.0000,5,2,26.301815,145.130943
188,63.9600,28,5,0,5,1,1.0000,5,3,24.027207,113.574599
189,69.5100,13,5,0,5,1,1.0000,6,1,24.286570,86.792171
190,3.6000,30,4,1,5,1,0.8000,13,2,24.957587,98.460798
191,64.6700,11,5,0,5,1,1.0000,4,4,19.853428,87.448148
192,58.9500,25,5,0,5,1,1.0000,6,3,18.805805,106.512469
193,64.4100,13,5,0,5,1,1.0000,5,3,19.871368,83.644623
194,44.1900,27,5,0,5,1,1.0000,10,2,19.264548,84.696624
195,43.7000,40,5,0,5,1,1.0000,11,1,20.841252,148.791832
196,58.6100,23,5,0,5,1,1.0000,6,3,19.445231,95.449049
197,48.3100,23,4,1,5,1,0.8000,5,1,22.129244,132.915178
198,38.9600,28,5,0,5,1,1.0000,11,2,20.069309,91.337479
199,69.1200,16,5,0,5,1,1.0000,4,3,22.260333,104.483322
200,79.6700,11,5,0,5,1,1.0000,3,2,17.679924,148.962486
201,43.5800,34,5,0,5,1,1.0000,10,2,17.099727,112.707936
202,-26.7000,40,3,2,5,1,0.6000,15,1,19.026857,127.123892
203,68.4700,21,5,0,5,1,1.0000,4,3,17.409362,94.823393
204,7.8000,50,4,1,5,1,0.8000,12,2,18.714723,121.743083
205,73.5900,17,5,0,5,1,1.0000,3,3,16.407225,88.060716
206,73.8300,19,5,0,5,1,1.0000,5,1,18.059298,98.937340
207,62.9400,32,5,0,5,1,1.0000,5,3,15.612925,82.440894
208,78.8500,15,5,0,5,1,1.0000,3,2,16.530290,112.352395
209,-18.9700,69,4,1,5,1,0.8000,15,4,18.835862,85.317097
210,59.2300,19,5,0,5,1,1.0000,7,2,18.515808,78.319189
211,58.2800,44,5,0,5,1,1.0000,7,2,15.395085,134.543901
212,12.7000,50,5,0,5,1,1.0000,14,4,17.526126,148.036135
213,38.9800,24,4,1,5,1,0.8000,5,3,15.497897,91.396992
214,7.3300,59,5,0,5,1,1.0000,15,4,15.723395,120.665184
215,43.8000,30,5,0,5,1,1.0000,8,4,15.910154,112.923636
216,12.1600,48,4,1,5,1,0.8000,11,3,16.818500,101.491052
