episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,23.7100,33,5,0,5,1,1.0000,12,4,,
2,54.3500,15,5,0,5,1,1.0000,7,3,,
3,18.7300,29,5,0,5,1,1.0000,14,3,61.601214,
4,-52.0900,43,3,2,5,1,0.6000,18,3,61.329138,
5,24.0900,27,5,0,5,1,1.0000,12,4,44.290107,
6,74.2400,12,5,0,5,1,1.0000,3,3,46.294982,
7,-2.0600,32,4,1,5,1,0.8000,12,4,49.542011,
8,-42.4600,42,4,1,5,1,0.8000,23,2,41.805766,
9,59.1500,15,5,0,5,1,1.0000,5,4,42.195986,
10,3.9100,23,4,1,5,1,0.8000,13,2,40.007599,
11,68.5800,24,5,0,5,1,1.0000,5,2,48.048315,
12,42.8600,28,5,0,5,1,1.0000,9,3,40.464915,
13,64.4100,13,5,0,5,1,1.0000,6,2,42.765223,373.056061
14,2.9600,38,4,1,5,1,0.8000,11,4,33.879767,373.666901
15,49.3200,16,5,0,5,1,1.0000,8,3,28.338078,371.848676
16,-15.7500,25,3,2,5,1,0.6000,12,2,31.732342,352.506192
17,64.3400,12,5,0,5,1,1.0000,5,3,30.577551,352.979431
18,68.8600,18,5,0,5,1,1.0000,5,2,27.976784,376.312317
19,29.2600,18,4,1,5,1,0.8000,9,1,31.325608,306.921646
20,-61.7400,48,3,2,5,1,0.6000,20,3,43.108242,365.396259
21,54.1600,18,5,0,5,1,1.0000,7,3,34.433560,377.002240
22,-47.4000,40,4,1,5,1,0.8000,22,4,37.896053,469.108307
23,49.2500,15,5,0,5,1,1.0000,7,4,32.765778,465.818652
24,33.5300,29,5,0,5,1,1.0000,10,4,39.461295,368.126080
25,-71.6200,44,3,2,5,1,0.6000,22,3,38.496751,434.130951
26,58.9600,18,5,0,5,1,1.0000,6,3,36.311032,398.439557
27,69.4400,12,5,0,5,1,1.0000,4,3,51.906686,429.661194
28,38.6500,25,5,0,5,1,1.0000,10,3,48.768479,387.206744
29,63.1400,32,5,0,5,1,1.0000,4,4,45.253131,392.772437
30,-1.5400,38,4,1,5,1,0.8000,14,2,44.915954,422.226746
31,33.3200,26,4,1,5,1,0.8000,9,0,49.332200,476.587292
32,53.8400,22,5,0,5,1,1.0000,7,3,46.028494,363.163251
33,-26.2200,34,3,2,5,1,0.6000,15,1,42.666266,369.754840
34,48.8700,21,5,0,5,1,1.0000,9,2,45.409196,303.347351
35,43.8400,22,5,0,5,1,1.0000,10,2,50.364814,381.884436
36,-6.0700,29,3,2,5,1,0.6000,8,4,53.274178,364.558725
37,44.1900,17,5,0,5,1,1.0000,9,3,43.503625,396.429370
38,74.1900,17,5,0,5,1,1.0000,5,1,53.368913,398.189301
39,63.6000,20,5,0,5,1,1.0000,6,2,50.521829,241.509665
40,8.8500,25,4,1,5,1,0.8000,10,4,47.793765,413.252850
41,13.7500,25,4,1,5,1,0.8000,11,2,53.030165,302.143149
42,59.1900,17,5,0,5,1,1.0000,5,4,48.393754,297.303094
43,67.6500,25,5,0,5,1,1.0000,4,3,46.713762,252.630157
44,-1.0100,27,3,2,5,1,0.6000,10,1,48.117538,289.001480
45,54.0600,18,5,0,5,1,1.0000,7,3,44.486880,282.500128
46,-11.3400,28,3,2,5,1,0.6000,11,2,44.653125,243.997488
47,23.6100,23,4,1,5,1,0.8000,9,2,40.807193,269.279688
48,8.4900,37,5,0,5,1,1.0000,15,4,46.308660,269.955313
49,9.1100,23,4,1,5,1,0.8000,11,3,42.256615,240.779224
50,-41.5200,44,4,1,5,1,0.8000,20,4,43.716049,294.635669
51,59.2900,17,5,0,5,1,1.0000,6,3,41.980308,271.020206
