episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
89,63.7600,18,5,0,5,1,1.0000,5,3,51.266277,174.798517
90,49.3900,17,5,0,5,1,1.0000,8,3,50.074112,152.462840
91,8.6600,28,3,2,5,1,0.6000,9,0,49.045898,147.433876
92,69.3100,13,5,0,5,1,1.0000,4,3,44.389324,110.000701
93,-78.1100,57,2,3,5,1,0.4000,20,2,47.895088,225.463947
94,24.2400,22,4,1,5,1,0.8000,8,3,45.963297,204.996799
95,8.7900,27,4,1,5,1,0.8000,11,3,44.501641,202.785599
96,69.1500,15,5,0,5,1,1.0000,3,4,43.366122,220.297931
97,39.0400,22,4,1,5,1,0.8000,6,2,47.978110,164.867290
98,48.2300,29,5,0,5,1,1.0000,9,2,45.020822,203.765627
99,28.7900,27,4,1,5,1,0.8000,6,4,44.966845,182.341612
100,39.2400,22,4,1,5,1,0.8000,5,3,45.012408,102.714470
101,59.3100,13,5,0,5,1,1.0000,6,3,44.724158,172.639178
102,29.0100,23,4,1,5,1,0.8000,8,2,47.286861,159.476318
103,64.2200,16,5,0,5,1,1.0000,5,3,44.947436,174.020441
104,73.7300,19,5,0,5,1,1.0000,3,3,42.208516,141.589374
105,58.7700,21,5,0,5,1,1.0000,6,3,47.472867,226.549829
106,54.2000,20,5,0,5,1,1.0000,7,3,45.596793,159.783809
107,-56.9100,47,3,2,5,1,0.6000,20,2,41.801057,137.680882
108,59.0000,20,5,0,5,1,1.0000,7,2,38.434422,140.693141
109,33.9100,23,4,1,5,1,0.8000,6,3,42.410979,138.132474
110,43.7700,21,5,0,5,1,1.0000,7,5,43.920135,155.282716
111,69.0200,16,5,0,5,1,1.0000,5,2,44.416628,131.444518
112,-61.8300,51,3,2,5,1,0.6000,22,1,40.368694,145.160129
113,63.9600,18,5,0,5,1,1.0000,5,3,39.077017,154.481059
114,59.1500,15,5,0,5,1,1.0000,5,4,40.702956,115.784844
115,38.0300,29,4,1,5,1,0.8000,5,3,38.976597,139.893130
116,-36.6000,40,3,2,5,1,0.6000,15,3,40.818828,97.273451
117,64.1300,19,5,0,5,1,1.0000,7,1,37.239276,96.274367
118,53.5600,28,5,0,5,1,1.0000,7,3,40.836283,106.228989
119,34.4900,17,4,1,5,1,0.8000,7,2,38.718741,175.540034
120,69.5400,12,5,0,5,1,1.0000,4,3,38.391276,112.637915
121,3.7700,31,4,1,5,1,0.8000,13,2,35.219132,173.336998
122,-2.5900,43,4,1,5,1,0.8000,13,4,37.208733,129.826617
123,24.0100,23,4,1,5,1,0.8000,8,3,35.771257,84.889226
124,43.4500,25,5,0,5,1,1.0000,9,3,35.286467,153.996030
125,64.3100,13,5,0,5,1,1.0000,5,3,32.116318,138.127690
126,58.8400,22,5,0,5,1,1.0000,6,3,34.887770,152.054787
127,-1.6100,37,5,0,5,1,1.0000,17,4,36.272148,107.235522
128,39.4200,16,4,1,5,1,0.8000,6,2,35.367826,174.821396
129,49.2900,17,5,0,5,1,1.0000,9,2,35.414381,172.387570
130,48.9500,25,5,0,5,1,1.0000,8,3,37.162137,155.324744
131,43.8200,26,5,0,5,1,1.0000,9,3,35.198470,128.881250
132,74.5000,10,5,0,5,1,1.0000,3,3,28.998920,145.831006
133,8.3200,46,5,0,5,1,1.0000,15,4,37.635122,161.469568
134,74.1800,14,5,0,5,1,1.0000,4,2,35.380653,149.013783
135,28.7800,24,5,0,5,1,1.0000,10,5,37.379521,135.564983
136,58.5400,22,5,0,5,1,1.0000,6,3,37.123108,121.374631
137,23.3500,35,4,1,5,1,0.8000,11,0,34.600319,183.354736
138,68.8200,16,5,0,5,1,1.0000,5,2,33.599223,101.594934
139,8.8000,30,5,0,5,1,1.0000,14,5,35.477924,128.415007
140,74.4400,12,5,0,5,1,1.0000,3,3,33.793363,104.795385
141,59.2500,15,5,0,5,1,1.0000,7,2,37.488531,95.460551
142,74.0500,15,5,0,5,1,1.0000,3,3,40.189853,105.196545
143,18.3700,31,4,1,5,1,0.8000,10,2,35.435302,98.152936
144,54.1900,17,5,0,5,1,1.0000,6,4,34.673447,101.320995
145,23.7700,31,4,1,5,1,0.8000,9,2,35.784716,118.854227
146,38.7700,31,5,0,5,1,1.0000,11,2,32.717507,94.001749
147,43.9100,23,5,0,5,1,1.0000,8,4,33.780649,137.126434
148,68.9900,17,5,0,5,1,1.0000,4,3,31.575715,106.764761
149,59.5800,14,5,0,5,1,1.0000,6,3,34.723174,69.137178
150,28.5700,41,5,0,5,1,1.0000,12,3,34.110133,167.181801
151,33.6800,24,4,1,5,1,0.8000,8,1,37.800979,107.343398
152,69.2500,15,5,0,5,1,1.0000,5,2,27.625145,113.811830
153,-41.7700,49,3,2,5,1,0.6000,18,1,33.366867,124.993552
154,18.3600,38,5,0,5,1,1.0000,13,4,32.617664,122.326238
155,33.4200,36,4,1,5,1,0.8000,5,4,32.071724,81.202600
156,43.0800,34,5,0,5,1,1.0000,10,2,32.234659,121.430143
157,79.3100,13,5,0,5,1,1.0000,3,2,29.550147,111.826590
158,58.7300,19,5,0,5,1,1.0000,6,3,30.432540,98.657686
159,48.2900,27,5,0,5,1,1.0000,8,3,28.447315,117.836432
160,53.6200,26,5,0,5,1,1.0000,7,3,31.011172,97.663069
161,74.0100,13,5,0,5,1,1.0000,2,4,34.862789,140.512219
162,73.7300,19,5,0,5,1,1.0000,4,2,30.918080,138.726530
163,64.1700,21,5,0,5,1,1.0000,6,2,29.618479,118.053798
164,59.4500,15,5,0,5,1,1.0000,5,4,28.248837,137.777956
165,74.0500,15,5,0,5,1,1.0000,4,2,32.546355,85.403008
166,34.1100,23,5,0,5,1,1.0000,10,4,28.963584,117.622301
167,-16.6600,42,3,2,5,1,0.6000,12,2,30.940774,89.430621
168,38.5300,29,5,0,5,1,1.0000,9,4,31.446874,129.132550
169,23.1900,27,4,1,5,1,0.8000,7,4,29.313916,126.321044
170,38.8600,28,5,0,5,1,1.0000,10,3,33.480284,89.694315
171,68.8600,18,5,0,5,1,1.0000,4,3,30.009382,91.829125
172,18.5500,25,4,1,5,1,0.8000,9,3,29.707873,100.181340
173,73.6300,19,5,0,5,1,1.0000,3,3,29.253675,95.313399
174,54.0400,22,5,0,5,1,1.0000,7,3,28.844247,151.508495
175,59.3500,15,5,0,5,1,1.0000,5,4,25.406664,155.352026
176,79.3000,10,5,0,5,1,1.0000,2,3,30.406318,119.656967
177,48.4000,30,5,0,5,1,1.0000,8,3,30.021122,156.580571
178,13.0000,40,4,1,5,1,0.8000,12,1,29.830250,102.354297
179,28.2100,33,4,1,5,1,0.8000,9,1,30.566301,155.907025
180,58.9800,24,5,0,5,1,1.0000,8,1,30.700191,128.227364
181,64.2000,20,5,0,5,1,1.0000,6,2,25.051383,106.986230
182,63.9600,18,5,0,5,1,1.0000,6,2,29.349381,106.947897
183,69.3500,15,5,0,5,1,1.0000,4,3,28.600106,79.380116
184,62.7000,30,5,0,5,1,1.0000,6,2,28.481500,123.816455
185,18.6700,31,4,1,5,1,0.8000,11,1,28.936153,95.380809
186,38.6000,30,5,0,5,1,1.0000,9,4,28.285832,117.745107
187,58.5400,22,5,0,5,1,1.0000,5,4,25.242637,106.688574
188,23.3200,36,5,0,5,1,1.0000,13,3,29.218064,114.628033
189,22.8000,50,5,0,5,1,1.0000,14,2,27.089191,71.348785
190,69.5100,13,5,0,5,1,1.0000,5,2,27.187079,132.353028
191,74.1500,15,5,0,5,1,1.0000,4,2,25.195170,95.686769
192,74.5000,10,5,0,5,1,1.0000,4,2,27.205731,106.241902
193,64.1900,17,5,0,5,1,1.0000,5,3,24.416048,146.153859
194,69.6300,9,5,0,5,1,1.0000,4,3,30.224651,118.036712
195,22.9100,33,4,1,5,1,0.8000,8,3,26.354519,103.890870
196,37.6100,33,5,0,5,1,1.0000,9,4,29.284204,105.065120
197,69.0400,22,5,0,5,1,1.0000,5,2,26.541987,125.535967
198,-7.2200,44,5,0,5,1,1.0000,19,3,28.551134,118.959314
199,53.1700,31,5,0,5,1,1.0000,9,1,24.031033,66.883190
200,36.3500,55,5,0,5,1,1.0000,8,5,25.192710,113.167255
201,33.1400,32,5,0,5,1,1.0000,11,3,25.988527,155.167272
202,23.3200,36,4,1,5,1,0.8000,10,1,26.148406,102.166283
203,48.3300,29,5,0,5,1,1.0000,8,3,25.321184,114.236974
204,44.3300,19,4,1,5,1,0.8000,5,2,24.044697,105.434134
205,43.8400,22,4,1,5,1,0.8000,6,1,22.119795,103.562228
206,43.8800,24,4,1,5,1,0.8000,5,2,25.634065,93.863507
207,68.9900,17,5,0,5,1,1.0000,4,3,26.234994,104.508807
208,78.0800,24,5,0,5,1,1.0000,3,2,23.319473,112.173662
209,23.5600,28,4,1,5,1,0.8000,10,1,22.489857,74.161693
210,58.9600,18,5,0,5,1,1.0000,5,4,24.944845,95.554472
211,37.8100,53,5,0,5,1,1.0000,10,3,22.367543,60.073047
212,53.8200,26,4,1,5,1,0.8000,4,1,24.224269,143.123325
213,46.8400,42,5,0,5,1,1.0000,9,2,23.952587,169.346765
214,49.1600,18,5,0,5,1,1.0000,8,3,27.019297,129.191145
215,73.8500,15,5,0,5,1,1.0000,3,3,22.394760,126.896144
216,57.6000,40,5,0,5,1,1.0000,7,2,21.551142,110.155956
217,38.8100,23,4,1,5,1,0.8000,5,3,23.314163,98.409343
218,62.7900,27,5,0,5,1,1.0000,5,3,23.924734,83.642917
219,63.0000,30,5,0,5,1,1.0000,6,2,21.234618,130.206566
220,13.2000,40,4,1,5,1,0.8000,11,2,24.296553,122.200681
221,28.5600,28,3,2,5,1,0.6000,3,2,20.703874,132.579510
222,8.4500,35,4,1,5,1,0.8000,11,3,21.595324,92.980572
223,68.6900,17,5,0,5,1,1.0000,4,3,24.135569,109.912660
224,38.6000,30,4,1,5,1,0.8000,6,2,19.530945,110.624124
225,49.0500,25,5,0,5,1,1.0000,9,2,20.086281,112.223087
226,24.4600,18,4,1,5,1,0.8000,9,2,22.948015,110.550272
227,79.0300,19,5,0,5,1,1.0000,3,2,20.223532,157.295421
228,36.4600,48,5,0,5,1,1.0000,11,2,21.276334,117.788033
229,68.4400,22,5,0,5,1,1.0000,3,4,20.836000,79.473379
230,69.0200,16,5,0,5,1,1.0000,4,3,26.157543,112.087506
231,53.6800,24,4,1,5,1,0.8000,3,2,16.888886,89.257977
232,38.0700,31,4,1,5,1,0.8000,6,2,20.127617,102.502116
233,53.0400,32,5,0,5,1,1.0000,8,2,18.374502,147.532237
234,68.8100,23,5,0,5,1,1.0000,4,3,15.393317,91.982953
235,64.0600,18,5,0,5,1,1.0000,4,4,17.128444,121.680599
236,-12.9500,55,4,1,5,1,0.8000,16,2,17.055335,76.401302
237,54.1500,25,5,0,5,1,1.0000,8,2,15.190336,82.001552
238,74.3400,12,5,0,5,1,1.0000,3,3,18.883757,95.793091
239,42.7800,34,5,0,5,1,1.0000,10,2,17.424135,91.722432
240,68.7700,21,5,0,5,1,1.0000,5,2,17.187239,137.292775
241,32.0800,44,4,1,5,1,0.8000,6,3,14.465066,117.773119
242,74.6600,8,5,0,5,1,1.0000,3,3,12.970573,109.630148
243,44.0100,23,4,1,5,1,0.8000,5,2,16.953887,123.057186
244,34.1500,25,4,1,5,1,0.8000,6,3,17.278542,125.020477
245,68.9200,16,5,0,5,1,1.0000,4,3,15.894684,109.383267
246,53.2500,25,5,0,5,1,1.0000,7,3,14.733738,104.634753
247,69.0600,18,5,0,5,1,1.0000,3,4,14.058153,77.701699
