episode,episode_return,total_steps,nodes_completed,nodes_skipped,workflow_size,workflow_complete,completion_rate,premature_executions,correct_executions,ctrl_loss,meta_loss
1,18.3600,28,5,0,5,1,1.0000,14,3,,
2,74.2800,14,5,0,5,1,1.0000,4,2,,
3,74.3400,12,5,0,5,1,1.0000,4,2,,
4,63.8400,22,5,0,5,1,1.0000,6,2,79.930357,
5,29.0100,23,5,0,5,1,1.0000,11,4,73.842409,
6,59.1200,16,5,0,5,1,1.0000,6,3,82.750798,
7,43.8400,22,5,0,5,1,1.0000,8,4,75.980071,
8,9.0500,25,4,1,5,1,0.8000,12,2,69.489408,
9,33.8800,24,4,1,5,1,0.8000,6,3,60.072298,
10,33.5500,25,5,0,5,1,1.0000,9,5,53.079265,
11,-76.3600,42,3,2,5,1,0.6000,24,2,43.971240,
12,-101.6800,46,1,4,5,1,0.2000,21,0,49.972059,
13,63.7000,20,5,0,5,1,1.0000,5,3,43.330469,502.831299
14,38.6000,30,5,0,5,1,1.0000,9,4,38.890186,472.427673
15,53.9000,20,5,0,5,1,1.0000,7,3,36.795395,472.494763
16,23.2000,30,4,1,5,1,0.8000,7,4,36.866571,429.899310
17,2.7400,42,5,0,5,1,1.0000,16,4,35.602421,452.477441
18,54.3200,16,5,0,5,1,1.0000,7,3,34.834218,468.186377
19,-5.7600,22,4,1,5,1,0.8000,15,2,44.895613,468.733588
20,64.6400,12,5,0,5,1,1.0000,4,4,57.294215,461.676355
21,-6.4500,35,4,1,5,1,0.8000,14,3,51.647132,465.535291
22,13.2900,27,4,1,5,1,0.8000,9,4,50.274031,457.210950
23,38.7000,30,5,0,5,1,1.0000,11,2,45.887085,393.095593
24,18.8500,25,4,1,5,1,0.8000,9,3,46.943908,431.225714
25,64.5800,14,5,0,5,1,1.0000,5,3,47.886821,395.744281
26,-16.2700,29,3,2,5,1,0.6000,12,2,43.918033,407.348798
27,69.0800,14,5,0,5,1,1.0000,3,4,48.174965,375.837036
28,44.2900,17,5,0,5,1,1.0000,10,2,52.487573,430.237695
29,68.9200,16,5,0,5,1,1.0000,4,3,64.508102,437.211084
30,17.7700,31,4,1,5,1,0.8000,9,3,59.755403,428.871307
31,34.0800,24,4,1,5,1,0.8000,8,1,57.988188,388.901440
32,39.4000,20,5,0,5,1,1.0000,11,2,52.110143,424.684088
